year,university,school,degree,variable,value
2013,National University of Singapore,Medicine,Bachelor of Science (Nursing) (Hons),employment_rate_overall,100
2013,National University of Singapore,Medicine,Bachelor of Science (Nursing) (Hons),basic_monthly_median,3000
2014,National University of Singapore,Medicine,Bachelor of Medicine and Bachelor of Surgery,basic_monthly_median,4500
2014,National University of Singapore,Medicine,Bachelor of Science (Nursing),employment_rate_overall,100
2014,National University of Singapore,Medicine,Bachelor of Science (Nursing),basic_monthly_median,3000
2014,National University of Singapore,Medicine,Bachelor of Science (Nursing) (Hons),employment_rate_overall,100
2014,National University of Singapore,Medicine,Bachelor of Science (Nursing) (Hons),basic_monthly_median,3270
2015,National University of Singapore,Medicine,Bachelor of Medicine and Bachelor of Surgery,employment_rate_overall,100
2015,National University of Singapore,Medicine,Bachelor of Medicine and Bachelor of Surgery,basic_monthly_median,4500
2015,National University of Singapore,Medicine,Bachelor of Science (Nursing),employment_rate_overall,97.3
2015,National University of Singapore,Medicine,Bachelor of Science (Nursing),basic_monthly_median,3200
2015,National University of Singapore,Medicine,Bachelor of Science (Nursing) (Hons),employment_rate_overall,100
2015,National University of Singapore,Medicine,Bachelor of Science (Nursing) (Hons),basic_monthly_median,3200
2013,National University of Singapore,Sciences,Bachelor of Applied Science (Hons),employment_rate_overall,97.3
2013,National University of Singapore,Sciences,Bachelor of Applied Science (Hons),basic_monthly_median,2750
2013,National University of Singapore,Sciences,Bachelor of Science,employment_rate_overall,80.9
2013,National University of Singapore,Sciences,Bachelor of Science,basic_monthly_median,2700
2013,National University of Singapore,Sciences,Bachelor of Science (Hons),employment_rate_overall,83.6
2013,National University of Singapore,Sciences,Bachelor of Science (Hons),basic_monthly_median,3000
2013,National University of Singapore,Sciences,Bachelor of Science (Pharmacy) (Hons),employment_rate_overall,96.4
2013,National University of Singapore,Sciences,Bachelor of Science (Pharmacy) (Hons),basic_monthly_median,3500
2014,National University of Singapore,Sciences,Bachelor of Applied Science (Hons),employment_rate_overall,95.5
2014,National University of Singapore,Sciences,Bachelor of Applied Science (Hons),basic_monthly_median,2750
2014,National University of Singapore,Sciences,Bachelor of Science,employment_rate_overall,76.8
2014,National University of Singapore,Sciences,Bachelor of Science,basic_monthly_median,2800
2014,National University of Singapore,Sciences,Bachelor of Science (Hons),employment_rate_overall,86.6
2014,National University of Singapore,Sciences,Bachelor of Science (Hons),basic_monthly_median,3200
2014,National University of Singapore,Sciences,Bachelor of Science (Pharmacy) (Hons),employment_rate_overall,98.9
2015,National University of Singapore,Sciences,Bachelor of Applied Science (Hons),employment_rate_overall,85.2
2015,National University of Singapore,Sciences,Bachelor of Applied Science (Hons),basic_monthly_median,3000
2015,National University of Singapore,Sciences,Bachelor of Science,employment_rate_overall,84.3
2015,National University of Singapore,Sciences,Bachelor of Science,basic_monthly_median,2900
2015,National University of Singapore,Sciences,Bachelor of Science (Hons),employment_rate_overall,83.9
2015,National University of Singapore,Sciences,Bachelor of Science (Hons),basic_monthly_median,3200
2015,National University of Singapore,Sciences,Bachelor of Science (Pharmacy) (Hons),employment_rate_overall,99
2015,National University of Singapore,Sciences,Bachelor of Science (Pharmacy) (Hons),basic_monthly_median,3500
