year,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2016,5,2,B,1537,1536,2322,49156
2016,5,2,C,229,229,355,43002
2016,5,2,D,414,389,500,6303
2016,5,2,E,534,510,815,49700
2016,6,1,A,2218,2213,4545,53694
2016,6,1,B,1470,1463,3436,56000
2016,6,1,C,228,219,347,46434
2016,6,1,D,407,395,529,6302
2016,6,1,E,536,533,860,55100
2016,6,2,A,2252,2197,3957,55200
2016,6,2,B,1463,1462,2914,57010
2016,6,2,C,228,226,342,48002
2016,6,2,D,422,389,495,6303
2016,6,2,E,538,531,1009,57390
2016,7,1,A,2222,2212,3194,52301
2016,7,1,B,1469,1469,2547,56089
2016,7,1,C,237,235,310,47889
2016,7,1,D,409,365,525,6012
2016,7,1,E,517,517,750,56002
2016,7,2,A,2272,2246,3195,53000
2016,7,2,B,1463,1463,2439,57508
2016,7,2,C,230,225,344,49890
2016,7,2,D,430,424,586,6302
2016,7,2,E,521,500,821,57501
2016,8,1,A,2018,1959,2712,52503
2016,8,1,B,1336,1300,2156,57903
2016,8,1,C,177,177,245,48302
2016,8,1,D,403,400,558,6206
2016,8,1,E,429,400,610,58201
2016,8,2,A,2034,2034,2803,53334
2016,8,2,B,1336,1334,2088,56500
2016,8,2,C,180,178,236,48001
2016,8,2,D,365,321,541,6352
2016,8,2,E,450,450,618,56956
2016,9,1,A,2067,2011,2739,51506
2016,9,1,B,1372,1358,2183,57002
2016,9,1,C,175,175,260,49801
2016,9,1,D,362,334,521,6452
2016,9,1,E,458,450,723,56889
2016,9,2,A,2008,1993,2610,50000
2016,9,2,B,1338,1334,2017,55501
2016,9,2,C,177,165,237,49890
2016,9,2,D,403,402,478,6501
2016,9,2,E,429,429,592,55201
2016,10,1,A,2064,1979,2938,51507
2016,10,1,B,1350,1246,1785,53001
2016,10,1,C,176,172,232,48702
2016,10,1,D,387,359,498,6353
2016,10,1,E,436,435,642,54200
2016,10,2,A,2023,2021,2584,50991
2016,10,2,B,1340,1329,1768,56410
2016,10,2,C,188,187,252,45589
2016,10,2,D,360,356,430,6354
2016,10,2,E,429,428,678,56340
2016,11,1,A,1929,1929,2800,52668
2016,11,1,B,1347,1345,2012,56206
2016,11,1,C,185,181,283,48001
2016,11,1,D,399,396,457,6311
2016,11,1,E,401,388,641,56000
2016,11,2,A,1846,1846,2536,50951
2016,11,2,B,1254,1253,1708,53001
2016,11,2,C,182,181,286,49002
2016,11,2,D,375,331,520,6212
2016,11,2,E,401,397,531,54901
2016,12,1,A,1844,1812,2335,48000
2016,12,1,B,1245,1237,1494,46229
2016,12,1,C,185,183,262,51209
2016,12,1,D,374,368,436,6113
2016,12,1,E,413,411,643,50010
2016,12,2,A,1844,1843,2554,49751
2016,12,2,B,1244,1242,2052,51109
2016,12,2,C,182,176,274,49500
2016,12,2,D,415,408,484,6101
2016,12,2,E,404,404,668,50389
